Airport,Delay
DTW,-16
DTW,-15
DTW,-12
DTW,-28
DTW,-16
DTW,66
DTW,-16
DTW,-13
DTW,9
DTW,-10
DTW,1
DTW,-10
DTW,31
DTW,-28
DTW,-10
DTW,-13
DTW,-29
DTW,2
DTW,5
DTW,-15
DTW,-27
DTW,-24
DTW,-5
DTW,-20
DTW,6
DTW,155
DTW,-8
DTW,-7
DTW,-18
DTW,-8
DTW,26
DTW,-15
DTW,14
DTW,0
DTW,1
DTW,17
DTW,-2
DTW,10
DTW,-14
DTW,-6
DTW,-11
DTW,36
DTW,-5
DTW,-3
DTW,-23
DTW,-6
DTW,3
DTW,-8
DTW,8
DTW,-5
DTW,-14
DTW,-13
DTW,6
DTW,-7
DTW,-7
DTW,-9
DTW,-6
DTW,67
DTW,24
DTW,-25
DTW,-10
DTW,3
DTW,-23
DTW,-2
DTW,-10
DTW,-8
DTW,-16
DTW,-3
DTW,-9
DTW,-18
DTW,-7
DTW,-6
DTW,5
DTW,-10
DTW,6
DTW,-14
DTW,-25
DTW,-14
DTW,-10
DTW,12
DTW,-14
DTW,-17
DTW,-4
DTW,-9
DTW,-17
DTW,-13
DTW,-15
DTW,40
DTW,-17
DTW,-18
DTW,1
DTW,1
DTW,-15
DTW,-9
DTW,-4
DTW,-12
DTW,-6
DTW,-7
DTW,-16
DTW,-13
DTW,-3
DTW,-9
DTW,-12
DTW,-14
DTW,-8
DTW,-15
DTW,2
DTW,0
DTW,7
DTW,-9
DTW,-22
DTW,-3
DTW,-23
DTW,-13
DTW,-10
DTW,3
DTW,-11
DTW,-5
DTW,-10
DTW,-15
DTW,-13
DTW,-6
DTW,117
DTW,-6
DTW,-12
DTW,-14
DTW,-24
DTW,183
DTW,-4
DTW,1
DTW,-20
DTW,-15
DTW,-29
DTW,-21
DTW,-13
DTW,21
DTW,-6
DTW,11
DTW,6
DTW,-12
DTW,-5
DTW,-11
DTW,-10
DTW,-10
DTW,-18
DTW,-18
DTW,-2
DTW,0
DTW,-1
DTW,-15
DTW,-3
DTW,0
DTW,-16
DTW,-15
DTW,-5
DTW,-2
DTW,12
DTW,39
DTW,-15
DTW,-21
DTW,-15
DTW,-13
DTW,0
DTW,13
DTW,19
DTW,-9
DTW,-10
DTW,-4
DTW,8
DTW,-10
DTW,-8
DTW,7
DTW,-10
DTW,13
DTW,-12
DTW,9
DTW,-25
DTW,-26
DTW,-13
DTW,-8
DTW,-9
DTW,-29
DTW,-16
DTW,-11
DTW,0
DTW,0
DTW,-7
DTW,-10
DTW,-19
DTW,-14
DTW,-13
DTW,-5
DTW,-4
DTW,-4
DTW,16
DTW,-17
DTW,-18
DTW,-10
DTW,2
DTW,-17
DTW,-12
DTW,-10
DTW,-24
DTW,6
DTW,-12
DTW,-21
DTW,11
DTW,-6
DTW,43
DTW,3
DTW,-5
DTW,-9
DTW,45
DTW,-10
DTW,-16
DTW,-17
DTW,-10
DTW,3
DTW,13
DTW,-10
DTW,-19
DTW,-19
DTW,-14
DTW,-8
DTW,-19
DTW,-11
DTW,2
DTW,-2
DTW,7
DTW,-7
DTW,-2
DTW,-7
DTW,-5
DTW,-21
DTW,8
DTW,4
DTW,-2
DTW,4
DTW,-20
DTW,-14
DTW,1
DTW,-7
DTW,-15
DTW,-30
DTW,-11
DTW,-6
DTW,-14
DTW,-20
DTW,-10
DTW,-12
DTW,-18
DTW,-19
DTW,1
DTW,6
DTW,27
DTW,-15
DTW,-20
DTW,-7
DTW,-11
DTW,-17
DTW,-17
DTW,-20
DTW,15
DTW,-10
DTW,-1
DTW,-9
DTW,-11
DTW,-7
DTW,9
DTW,-9
DTW,-22
DTW,-12
DTW,10
DTW,-5
DTW,-8
DTW,-20
DTW,-13
DTW,-7
DTW,2
DTW,-7
DTW,-6
DTW,-15
DTW,-19
DTW,-17
DTW,-16
DTW,-6
DTW,-4
DTW,-27
DTW,1
DTW,-10
DTW,-12
DTW,-18
DTW,-7
DTW,-7
DTW,26
DTW,3
DTW,-19
DTW,-14
DTW,-25
DTW,3
DTW,-13
DTW,-1
DTW,11
DTW,-10
DTW,-21
DTW,-10
DTW,10
DTW,-6
DTW,-12
DTW,10
DTW,-16
DTW,-11
DTW,-27
DTW,-11
DTW,-20
DTW,-21
DTW,-14
DTW,-11
DTW,9
DTW,16
DTW,60
DTW,-25
DTW,-15
DTW,-3
DTW,4
DTW,30
DTW,12
DTW,-2
DTW,-12
DTW,11
DTW,44
DTW,-3
DTW,15
DTW,118
DTW,-10
DTW,-17
DTW,-20
DTW,-3
DTW,-12
DTW,3
DTW,-9
DTW,-18
DTW,-15
DTW,-16
DTW,-15
DTW,-5
DTW,32
DTW,-6
DTW,-7
DTW,110
DTW,-8
DTW,-10
DTW,0
DTW,3
DTW,-7
DTW,-12
DTW,-19
DTW,-12
DTW,-15
DTW,-11
DTW,16
DTW,-8
DTW,30
DTW,-9
DTW,8
DTW,-5
DTW,-16
DTW,-15
DTW,-1
DTW,-11
DTW,23
DTW,7
DTW,-17
DTW,-11
DTW,-10
DTW,42
DTW,-13
DTW,-14
DTW,-7
DTW,29
DTW,-2
DTW,17
DTW,-12
DTW,-3
DTW,-12
DTW,-2
DTW,-24
DTW,-4
DTW,60
DTW,277
DTW,82
DTW,-20
DTW,-14
DTW,-3
DTW,-11
DTW,2
DTW,-15
DTW,6
DTW,-27
DTW,2
DTW,-20
DTW,-16
DTW,60
DTW,49
DTW,-14
DTW,-32
DTW,-12
DTW,-11
DTW,3
DTW,-8
DTW,-13
DTW,2
DTW,-7
DTW,-3
DTW,-13
DTW,-5
DTW,104
DTW,-11
DTW,48
DTW,-7
DTW,-9
DTW,-19
DTW,-4
DTW,-8
DTW,-4
DTW,-13
DTW,-10
DTW,7
DTW,-3
DTW,0
DTW,6
DTW,-10
DTW,-10
DTW,-6
DTW,-2
DTW,-7
DTW,-10
DTW,24
DTW,-3
DTW,-9
DTW,28
DTW,-10
DTW,22
DTW,-17
DTW,-21
DTW,-4
DTW,-9
DTW,-8
DTW,-15
DTW,13
DTW,9
DTW,19
DTW,-11
DTW,-2
DTW,-10
DTW,27
DTW,24
DTW,49
DTW,-7
DTW,-2
DTW,-10
DTW,7
DTW,-12
DTW,-4
DTW,-12
DTW,9
DTW,-12
DTW,-12
DTW,6
DTW,12
DTW,-17
DTW,-3
DTW,9
DTW,-8
DTW,-27
DTW,8
DTW,-7
DTW,-2
DTW,11
DTW,-11
DTW,-10
DTW,15
DTW,18
DTW,38
DTW,8
DTW,-12
DTW,-23
DTW,0
DTW,-5
DTW,-2
DTW,-10
DTW,-7
DTW,13
DTW,-5
DTW,-10
DTW,4
DTW,-3
DTW,-2
DTW,-10
DTW,-10
DTW,13
DTW,-25
DTW,5
DTW,-10
DTW,-4
DTW,-17
DTW,-17
DTW,-25
DTW,-9
DTW,-1
DTW,-2
DTW,9
DTW,-4
DTW,-17
DTW,-16
DTW,-10
DTW,-15
DTW,-12
DTW,-8
DTW,-12
DTW,-13
DTW,0
DTW,-17
DTW,2
DTW,33
DTW,-16
DTW,-5
DTW,-24
DTW,-4
DTW,-9
DTW,-23
DTW,-10
DTW,-7
DTW,-10
DTW,10
DTW,-17
DTW,-16
DTW,-1
DTW,13
DTW,-12
DTW,-14
DTW,-9
DTW,1
DTW,-11
DTW,-6
DTW,29
DTW,-17
DTW,-16
DTW,-7
DTW,-14
DTW,-14
DTW,-6
DTW,-9
DTW,2
DTW,-15
DTW,-18
DTW,-8
DTW,-8
DTW,-19
DTW,-4
DTW,102
DTW,-11
DTW,-3
DTW,-19
DTW,44
DTW,-12
DTW,14
DTW,-22
DTW,-25
DTW,-6
DTW,-18
DTW,-17
DTW,-23
DTW,-15
DTW,18
DTW,-1
DTW,-17
DTW,5
DTW,-13
DTW,2
DTW,-5
DTW,92
DTW,-14
DTW,-9
DTW,-12
DTW,-18
DTW,-20
DTW,-18
DTW,27
DTW,21
DTW,-1
DTW,-17
DTW,-26
DTW,145
DTW,-12
DTW,-15
DTW,-18
DTW,11
DTW,-18
DTW,-6
DTW,-17
DTW,-19
DTW,-22
DTW,-14
DTW,-7
DTW,-2
DTW,3
DTW,-9
DTW,-13
DTW,-8
DTW,-19
DTW,-18
DTW,-13
DTW,1
DTW,-18
DTW,-16
DTW,-10
DTW,0
DTW,26
DTW,5
DTW,21
DTW,-12
DTW,-9
DTW,-9
DTW,0
DTW,-18
DTW,-9
DTW,-13
DTW,-19
DTW,31
DTW,-13
DTW,2
DTW,-19
DTW,-20
DTW,18
DTW,-6
DTW,-11
DTW,-13
DTW,-27
DTW,-19
DTW,-11
DTW,8
DTW,-10
DTW,-9
DTW,21
DTW,-4
DTW,-3
DTW,-23
DTW,-15
ATL,-17
ATL,-16
ATL,-20
ATL,-5
ATL,-15
ATL,10
ATL,-13
ATL,39
ATL,-11
ATL,-10
ATL,-6
ATL,10
ATL,-4
ATL,7
ATL,37
ATL,-33
ATL,13
ATL,-28
ATL,-17
ATL,-20
ATL,-15
ATL,58
ATL,-21
ATL,-20
ATL,-28
ATL,-12
ATL,-14
ATL,158
ATL,-20
ATL,-13
ATL,-10
ATL,-12
ATL,-19
ATL,15
ATL,37
ATL,2
ATL,-3
ATL,-7
ATL,-11
ATL,-12
ATL,51
ATL,-1
ATL,7
ATL,-6
ATL,-10
ATL,-5
ATL,-2
ATL,-15
ATL,-15
ATL,-20
ATL,-11
ATL,-4
ATL,-20
ATL,-21
ATL,-25
ATL,-16
ATL,-12
ATL,-17
ATL,-14
ATL,-13
ATL,-19
ATL,-12
ATL,-20
ATL,-12
ATL,0
ATL,-10
ATL,-8
ATL,-14
ATL,-17
ATL,311
ATL,-9
ATL,-11
ATL,-9
ATL,15
ATL,271
ATL,8
ATL,-5
ATL,-19
ATL,-13
ATL,-8
ATL,-11
ATL,-10
ATL,-14
ATL,-22
ATL,-21
ATL,-11
ATL,-13
ATL,-13
ATL,-9
ATL,-22
ATL,-17
ATL,-15
ATL,-7
ATL,-14
ATL,12
ATL,-8
ATL,-20
ATL,-26
ATL,-10
ATL,-9
ATL,-11
ATL,-20
ATL,0
ATL,-12
ATL,151
ATL,-9
ATL,0
ATL,-8
ATL,-17
ATL,-9
ATL,-21
ATL,-3
ATL,-22
ATL,-13
ATL,-26
ATL,-19
ATL,39
ATL,-13
ATL,-24
ATL,10
ATL,-7
ATL,-32
ATL,-17
ATL,-10
ATL,-32
ATL,17
ATL,8
ATL,-34
ATL,-21
ATL,-24
ATL,50
ATL,-10
ATL,-6
ATL,-10
ATL,-4
ATL,-11
ATL,-17
ATL,-16
ATL,-12
ATL,-9
ATL,90
ATL,6
ATL,-14
ATL,-8
ATL,-10
ATL,-11
ATL,-13
ATL,-14
ATL,-18
ATL,-28
ATL,-13
ATL,-20
ATL,2
ATL,2
ATL,-7
ATL,-17
ATL,-16
ATL,8
ATL,2
ATL,-22
ATL,119
ATL,5
ATL,8
ATL,-16
ATL,-11
ATL,-8
ATL,-8
ATL,-9
ATL,-21
ATL,-5
ATL,24
ATL,3
ATL,-11
ATL,-5
ATL,-16
ATL,106
ATL,-10
ATL,-6
ATL,-14
ATL,-9
ATL,-20
ATL,7
ATL,2
ATL,4
ATL,-17
ATL,10
ATL,-10
ATL,-12
ATL,62
ATL,-19
ATL,-20
ATL,-10
ATL,-9
ATL,-6
ATL,5
ATL,0
ATL,-10
ATL,-15
ATL,0
ATL,-11
ATL,-23
ATL,53
ATL,-3
ATL,-2
ATL,-12
ATL,-14
ATL,-14
ATL,247
ATL,-11
ATL,-4
ATL,-25
ATL,-9
ATL,-22
ATL,-12
ATL,-11
ATL,-17
ATL,-22
ATL,-14
ATL,5
ATL,-9
ATL,-14
ATL,29
ATL,-15
ATL,26
ATL,-7
ATL,-9
ATL,-16
ATL,-27
ATL,-16
ATL,-12
ATL,-20
ATL,-12
ATL,-16
ATL,-13
ATL,-18
ATL,-12
ATL,-18
ATL,8
ATL,2
ATL,-14
ATL,-15
ATL,-15
ATL,-25
ATL,6
ATL,-21
ATL,-6
ATL,-14
ATL,-11
ATL,-26
ATL,-6
ATL,-24
ATL,-13
ATL,14
ATL,-22
ATL,-19
ATL,8
ATL,-2
ATL,4
ATL,-7
ATL,64
ATL,-13
ATL,-12
ATL,-12
ATL,-13
ATL,-11
ATL,-17
ATL,-12
ATL,-10
ATL,-2
ATL,-13
ATL,-3
ATL,25
ATL,-13
ATL,3
ATL,-6
ATL,-3
ATL,-21
ATL,-20
ATL,-16
ATL,2
ATL,-5
ATL,-20
ATL,26
ATL,-10
ATL,-17
ATL,-17
ATL,-10
ATL,0
ATL,-6
ATL,-2
ATL,-16
ATL,-19
ATL,-24
ATL,2
ATL,-7
ATL,-17
ATL,-25
ATL,-1
ATL,-19
ATL,-15
ATL,-25
ATL,-5
ATL,-15
ATL,-7
ATL,-18
ATL,0
ATL,-18
ATL,-6
ATL,-8
ATL,-2
ATL,-10
ATL,-22
ATL,14
ATL,1
ATL,-7
ATL,-11
ATL,-14
ATL,-17
ATL,-13
ATL,-7
ATL,-15
ATL,-5
ATL,-15
ATL,-10
ATL,-13
ATL,-6
ATL,-10
ATL,-15
ATL,26
ATL,-22
ATL,-26
ATL,5
ATL,-27
ATL,-14
ATL,-24
ATL,-14
ATL,14
ATL,-17
ATL,-7
ATL,-18
ATL,-8
ATL,-18
ATL,-23
ATL,5
ATL,-17
ATL,33
ATL,2
ATL,6
ATL,-6
ATL,-22
ATL,-27
ATL,-1
ATL,-22
ATL,0
ATL,-1
ATL,-21
ATL,-9
ATL,-15
ATL,-11
ATL,16
ATL,9
ATL,-2
ATL,-14
ATL,-4
ATL,-21
ATL,-24
ATL,-13
ATL,-12
ATL,-10
ATL,-13
ATL,-31
ATL,-6
ATL,-11
ATL,-13
ATL,2
ATL,-18
ATL,1
ATL,-13
ATL,-1
ATL,-7
ATL,-5
ATL,-8
ATL,-15
ATL,-21
ATL,52
ATL,-13
ATL,-23
ATL,-9
ATL,-9
ATL,-16
ATL,32
ATL,-2
ATL,-12
ATL,-20
ATL,-9
ATL,-22
ATL,-6
ATL,-9
ATL,-22
ATL,-9
ATL,-25
ATL,-12
ATL,-3
ATL,-19
ATL,-5
ATL,-6
ATL,-21
ATL,7
ATL,-10
ATL,31
ATL,-16
ATL,-16
ATL,1
ATL,-8
ATL,-5
ATL,-9
ATL,59
ATL,85
ATL,-20
ATL,46
ATL,-6
ATL,-11
ATL,-23
ATL,-13
ATL,-15
ATL,-17
ATL,-28
ATL,1
ATL,-2
ATL,2
ATL,-22
ATL,-12
ATL,-4
ATL,-25
ATL,-16
ATL,-9
ATL,-18
ATL,-13
ATL,-7
ATL,4
ATL,-16
ATL,-16
ATL,-5
ATL,13
ATL,-18
ATL,1
ATL,-14
ATL,-4
ATL,23
ATL,-18
ATL,-13
ATL,-12
ATL,-21
ATL,351
ATL,-10
ATL,6
ATL,-5
ATL,-20
ATL,-29
ATL,-11
ATL,-16
ATL,-27
ATL,-4
ATL,-14
ATL,18
ATL,60
ATL,-16
ATL,7
ATL,-9
ATL,5
ATL,-10
ATL,-25
ATL,-17
ATL,26
ATL,44
ATL,-9
ATL,-10
ATL,0
ATL,-19
ATL,-12
ATL,-8
ATL,-7
ATL,-25
ATL,-1
ATL,-17
ATL,-13
ATL,-17
ATL,-2
ATL,-5
ATL,-8
ATL,6
ATL,-16
ATL,-19
ATL,-22
ATL,-10
ATL,-12
ATL,-4
ATL,-18
ATL,-11
ATL,372
ATL,-14
ATL,-20
ATL,-8
ATL,64
ATL,-13
ATL,-3
ATL,0
ATL,14
ATL,-12
ATL,-19
ATL,-11
ATL,-17
ATL,22
ATL,-22
ATL,-4
ATL,-1
ATL,2
ATL,8
ATL,-5
ATL,-15
ATL,-19
ATL,-21
ATL,-3
ATL,13
ATL,-8
ATL,-12
ATL,-12
ATL,-18
ATL,-15
ATL,375
ATL,-16
ATL,-12
ATL,-13
ATL,-15
ATL,-8
ATL,-32
ATL,-14
ATL,-23
ATL,-6
ATL,-9
ATL,-16
ATL,17
ATL,-25
ATL,1
ATL,-18
ATL,-11
ATL,-17
ATL,-22
ATL,-25
ATL,87
ATL,-19
ATL,-11
ATL,0
ATL,-19
ATL,-9
ATL,-15
ATL,-22
ATL,-5
ATL,-25
ATL,18
ATL,21
ATL,-17
ATL,11
ATL,-18
ATL,-11
ATL,-13
ATL,-13
ATL,-10
ATL,-8
ATL,-24
ATL,-4
ATL,-17
ATL,-14
ATL,-13
ATL,-6
ATL,-13
ATL,-17
ATL,-11
ATL,-7
ATL,1
ATL,1
ATL,-20
ATL,13
ATL,-11
ATL,2
ATL,-3
ATL,-11
ATL,-26
ATL,192
ATL,-2
ATL,-19
ATL,6
ATL,-17
ATL,6
ATL,-7
ATL,-10
ATL,-20
ATL,-13
ATL,-7
ATL,2
ATL,-13
ATL,-5
ATL,-12
ATL,24
ATL,627
ATL,-16
ATL,-4
ATL,-10
ATL,6
ATL,6
ATL,-20
ATL,-21
ATL,24
ATL,0
ATL,16
ATL,-5
ATL,-4
ATL,-9
ATL,-23
ATL,-13
ATL,5
ATL,-10
ATL,-19
ATL,-2
ATL,47
ATL,-19
ATL,-9
ATL,-7
ATL,-15
ATL,17
ATL,-14
ATL,-16
ATL,15
ATL,-9
ATL,-9
ATL,-16
ATL,-8
ATL,-11
ATL,202
ATL,-8
ATL,-26
ATL,19
ATL,-9
ATL,5
ATL,-13
ATL,5
ATL,-2
ATL,-25
ATL,-32
ATL,-6
ATL,-13
ATL,-6
ATL,-2
ATL,-4
ATL,-17
ATL,-12
ATL,-17
ATL,-8
ATL,-8
ATL,-27
ATL,14
ATL,-15
ATL,-25
ATL,6
ATL,90
ATL,-14
ATL,9
ATL,3
ATL,-17
ATL,-16
ATL,-39
ATL,5
ATL,-22
ATL,-21
ATL,-7
ATL,-4
ATL,-12
